timestamp,postcode,Response_Team_Officers
2025-07-14 02:00:00,NW10 3TB,0
2025-05-07 11:00:00,TW9 1SL,4
2025-07-16 13:00:00,W5 3JT,2
2025-07-28 16:00:00,SW4 9SH,4
2025-06-19 12:00:00,W12 8AU,16
2025-05-19 11:00:00,DA8 2EQ,4
2025-05-26 15:00:00,HA5 4AZ,3
2025-05-12 06:00:00,SE5 0TT,9
2025-05-22 12:00:00,SW19 1LB,1
2025-05-15 00:00:00,E3 4DL,0
2025-06-18 19:00:00,TN16 3XQ,5
2025-07-17 00:00:00,WC2H 8LE,17
2025-06-03 10:00:00,NW5 2PL,1
2025-07-26 00:00:00,TW1 3QL,22
2025-05-12 08:00:00,E5 9EN,1
2025-05-02 00:00:00,NW8 9XR,0
2025-05-23 04:00:00,N1 4ES,4
2025-07-09 06:00:00,W14 0SU,5
2025-07-10 10:00:00,W1M 3LG,3
2025-06-01 03:00:00,TW3 2NG,3
2025-06-12 05:00:00,EN2 6SE,22
2025-07-10 07:00:00,W4 3BG,14
2025-07-11 10:00:00,SW4 7JD,9
2025-07-11 23:00:00,SE28 0BF,0
2025-07-16 13:00:00,EC2A 4BD,2
2025-07-03 22:00:00,TW7 7DY,4
2025-06-19 10:00:00,W1T 5LY,0
2025-06-09 02:00:00,E12 5DD,3
2025-05-25 02:00:00,TW14 8BU,6
2025-06-19 15:00:00,IG3 8QL,2
2025-07-21 01:00:00,SW4 7SL,2
2025-07-01 18:00:00,SW8 3EH,1
2025-07-08 15:00:00,UB3 3BX,5
2025-06-19 14:00:00,CR2 6AS,5
2025-07-14 17:00:00,E1W 2BD,3
2025-06-21 15:00:00,IG1 2ND,5
2025-07-02 08:00:00,NW2 6HG,4
2025-06-20 13:00:00,W2 3LA,4
2025-07-25 08:00:00,SW9 8DL,6
2025-07-03 10:00:00,TW3 3QN,4
2025-07-01 17:00:00,SW8 1SS,20
2025-05-12 08:00:00,SE22 8NE,6
2025-05-22 16:00:00,SW17 7HE,2
2025-06-14 17:00:00,E5 9LU,16
2025-07-15 13:00:00,SE22 8SD,25
2025-05-02 16:00:00,W2 2UT,2
2025-07-27 22:00:00,E8 4QU,1
2025-06-15 01:00:00,HA3 9AN,18
2025-07-23 08:00:00,SE5 0JN,23
2025-05-28 14:00:00,E5 9EY,0
2025-07-19 01:00:00,E14 0AF,2
2025-05-10 13:00:00,E6 1HU,5
2025-05-21 01:00:00,N16 7RJ,23
2025-07-28 14:00:00,SW17 0BQ,0
2025-06-26 14:00:00,E9 6RS,3
2025-05-31 17:00:00,W12 7AD,4
2025-07-13 20:00:00,W1J 7LG,17
2025-05-26 19:00:00,E15 1XE,11
2025-07-21 16:00:00,SE22 8QE,9
2025-06-10 08:00:00,SE11 6QH,5
2025-07-08 18:00:00,SE24 0NQ,4
2025-05-12 17:00:00,N14 5BJ,24
2025-05-04 11:00:00,N21 2BT,0
2025-06-10 10:00:00,HA8 6HS,4
2025-05-14 14:00:00,SE18 6QQ,1
2025-05-15 13:00:00,N1 9QQ,1
2025-07-20 05:00:00,N11 3PW,6
2025-05-30 18:00:00,SW7 2PZ,4
2025-05-22 03:00:00,WC1E 7LT,5
2025-05-12 22:00:00,N16 8LB,4
2025-05-20 08:00:00,N7 8ES,4
2025-06-23 09:00:00,IG2 7RB,6
2025-05-01 15:00:00,N1 6LS,5
2025-05-17 16:00:00,WC2R 2PH,14
2025-07-26 15:00:00,SE1 7NT,23
2025-06-05 03:00:00,NW10 4DJ,2
2025-05-15 05:00:00,TW9 1AR,14
2025-07-12 04:00:00,SE5 8JH,5
2025-06-16 09:00:00,WC1E 6HR,4
2025-05-24 07:00:00,SW1W 0BY,5
2025-05-24 19:00:00,E1 8BN,4
2025-06-18 15:00:00,E14 3WF,3
2025-06-10 00:00:00,TW4 6LZ,2
2025-06-30 19:00:00,NW1 0HA,2
2025-06-26 05:00:00,W13 9RL,4
2025-07-21 11:00:00,E2 8BB,3
2025-07-25 07:00:00,E13 9ER,3
2025-06-19 00:00:00,W4 2PZ,3
2025-05-24 04:00:00,N7 7HY,3
2025-07-08 12:00:00,SW1W 9DA,2
2025-07-12 17:00:00,W1H 5DQ,4
2025-06-01 05:00:00,W2 3BU,13
2025-07-18 09:00:00,NW3 7AX,3
2025-07-12 22:00:00,IG11 7NB,1
2025-05-03 13:00:00,E2 7LY,0
2025-07-30 15:00:00,E8 3PN,8
2025-07-02 21:00:00,SW9 0NA,4
2025-06-04 18:00:00,E15 2TF,1
2025-07-23 04:00:00,SW1Y 4JH,10
2025-05-31 01:00:00,SE18 2EE,3
2025-07-15 22:00:00,E16 3DD,3
2025-07-14 08:00:00,E17 7JX,3
2025-05-14 06:00:00,E16 1JX,4
2025-06-09 03:00:00,SE17 2EY,2
2025-05-03 11:00:00,SW3 1AE,3
2025-05-23 02:00:00,SE17 3LF,19
2025-06-22 09:00:00,SW16 4JR,5
2025-05-24 21:00:00,SW8 1UD,0
2025-07-09 10:00:00,W6 8PT,2
2025-06-08 14:00:00,N7 0SE,1
2025-06-06 10:00:00,SW9 9ET,4
2025-06-13 11:00:00,SW11 3RU,5
2025-07-17 17:00:00,UB3 1AH,19
2025-05-13 05:00:00,N7 6PN,4
2025-05-06 04:00:00,HA2 6ES,1
2025-06-13 09:00:00,SE16 6BB,4
2025-05-16 04:00:00,SW2 2BD,16
2025-07-06 08:00:00,SE8 4SS,1
2025-07-12 06:00:00,SW5 0RH,19
2025-05-16 04:00:00,SE24 9JG,23
2025-05-19 16:00:00,HA9 0AA,5
2025-06-01 04:00:00,E6 1JL,9
2025-05-21 16:00:00,SW4 7EX,0
2025-06-13 16:00:00,E14 8QQ,12
2025-05-04 09:00:00,KT1 2UF,0
2025-06-01 18:00:00,N1 7QX,7
2025-06-17 21:00:00,W8 7TQ,5
2025-06-27 15:00:00,IG3 8LT,5
2025-06-19 19:00:00,HA9 6JJ,0
2025-06-26 06:00:00,SW19 7NH,9
2025-07-01 20:00:00,CR2 2XG,4
2025-07-16 05:00:00,SE5 7AY,2
2025-07-20 12:00:00,E7 9HS,13
2025-05-20 23:00:00,SM1 4AE,2
2025-06-03 11:00:00,E13 9JX,7
2025-06-09 02:00:00,NW1 5JJ,4
2025-05-22 21:00:00,WC2H 7LA,14
2025-05-14 11:00:00,SE6 4SL,1
2025-07-21 11:00:00,E18 2JL,0
2025-05-19 19:00:00,SE8 3QX,15
2025-05-04 18:00:00,E14 3WF,21
2025-05-17 15:00:00,W1T 2BY,15
2025-07-23 22:00:00,E7 0LF,12
2025-05-28 08:00:00,N16 7BB,15
2025-07-22 06:00:00,SE1 3NY,0
2025-07-10 07:00:00,SE8 3PR,5
2025-05-26 21:00:00,EC4V 5AU,6
2025-06-27 10:00:00,E1 4BJ,23
2025-06-14 09:00:00,WC2H 9NQ,0
2025-05-14 19:00:00,E15 4HG,1
2025-05-09 21:00:00,SW8 4JD,4
2025-06-16 15:00:00,SE11 5JE,0
2025-07-02 04:00:00,N1 5QU,9
2025-05-25 23:00:00,SW19 8TB,21
2025-06-14 08:00:00,N1 2AB,2
2025-07-21 08:00:00,NW1 0DS,5
2025-05-17 13:00:00,W1T 3QJ,5
2025-05-11 11:00:00,HA1 2FT,2
2025-06-04 16:00:00,W14 9HT,16
2025-06-29 08:00:00,TW10 7YS,22
2025-06-06 12:00:00,EN3 6DS,0
2025-05-10 16:00:00,W13 9YE,2
2025-07-23 03:00:00,W5 3JE,5
2025-05-25 11:00:00,EC1R 0HD,3
2025-07-10 23:00:00,N17 9GL,16
2025-05-23 03:00:00,SW8 1NH,2
2025-07-09 03:00:00,HA9 8AY,1
2025-07-24 18:00:00,SW18 1ZF,2
2025-06-14 19:00:00,N1 5TZ,5
2025-05-17 11:00:00,SE1 6DF,3
2025-07-18 12:00:00,SW3 3LJ,21
2025-07-23 09:00:00,UB3 2NX,4
2025-07-13 17:00:00,BR1 3NR,2
2025-06-03 12:00:00,W12 8PZ,2
2025-05-06 14:00:00,SE10 0JW,0
2025-07-05 18:00:00,N5 1HN,2
2025-06-20 00:00:00,TW3 1UF,24
2025-07-25 21:00:00,NW9 4AP,2
2025-07-05 23:00:00,SW3 3QH,5
2025-05-29 04:00:00,N7 6AS,2
2025-05-05 02:00:00,N15 5LD,16
2025-07-09 18:00:00,NW10 2SG,2
2025-07-04 08:00:00,UB1 1DE,24
2025-05-11 19:00:00,SM1 1JA,3
2025-06-22 11:00:00,E16 4HA,0
2025-05-27 15:00:00,N7 6AU,2
2025-06-24 12:00:00,E4 8QX,0
2025-07-28 00:00:00,W11 2RU,5
2025-07-04 20:00:00,SW1V 3AZ,0
2025-06-05 21:00:00,UB6 9DX,2
2025-05-03 13:00:00,E3 4QU,4
2025-05-22 14:00:00,SW1W 9SU,3
2025-07-16 15:00:00,E7 9AD,16
2025-06-21 07:00:00,N7 9GZ,2
2025-07-28 20:00:00,E17 9AT,2
2025-07-05 22:00:00,SW9 0QS,5
2025-06-25 14:00:00,SW5 9QF,3
2025-05-05 14:00:00,SW19 1LG,0
2025-05-28 07:00:00,SW16 4UN,4
2025-07-05 07:00:00,NW10 4HN,4
2025-06-23 13:00:00,N17 8BA,3
2025-07-28 20:00:00,E5 0LS,4
2025-07-17 00:00:00,TW4 5AJ,0
2025-07-24 10:00:00,W1K 5JT,5
2025-07-29 13:00:00,WC1H 0AH,4
2025-05-20 15:00:00,NW1 2BR,1
2025-06-24 10:00:00,W9 1HZ,1
2025-07-12 21:00:00,N1 9JX,3
2025-06-07 19:00:00,SE10 9EJ,2
2025-05-14 20:00:00,E8 2PH,18
2025-05-22 20:00:00,SE1 9QR,18
2025-07-15 17:00:00,W12 9RA,3
2025-07-26 06:00:00,SE10 9HP,2
2025-06-27 00:00:00,E17 8PQ,5
2025-06-06 00:00:00,TW13 6BH,2
2025-06-16 19:00:00,SW4 9EN,1
2025-07-05 12:00:00,SW8 1NH,20
2025-05-12 08:00:00,N19 5ED,18
2025-07-01 15:00:00,E9 7LR,8
2025-06-07 08:00:00,N22 7AQ,23
2025-06-18 10:00:00,SW19 1SD,5
2025-06-18 04:00:00,NW3 2QD,1
2025-06-11 15:00:00,SE25 4FQ,5
2025-07-22 12:00:00,N17 9JF,10
2025-06-06 05:00:00,NW10 8PX,3
2025-05-13 20:00:00,W12 7DS,5
2025-06-29 08:00:00,NW10 5ST,0
2025-07-20 13:00:00,W4 3HU,0
2025-06-03 10:00:00,WC1A 2RJ,6
2025-07-31 15:00:00,W5 3TB,1
2025-05-08 15:00:00,SE13 6SN,0
2025-05-24 22:00:00,SE1 0RX,2
2025-06-19 14:00:00,N16 6XS,3
2025-07-26 01:00:00,HA4 8LF,16
2025-06-15 19:00:00,SE17 1QQ,4
2025-05-17 13:00:00,E2 8TD,5
2025-07-03 02:00:00,W11 3JJ,14
2025-07-11 02:00:00,NW5 2JS,4
2025-07-28 09:00:00,IG11 8JE,3
2025-05-01 15:00:00,W1H 7AP,4
2025-06-06 10:00:00,HA9 8FR,23
2025-06-08 01:00:00,SE18 1JG,7
2025-06-01 08:00:00,RM1 3ED,3
2025-07-26 15:00:00,N7 0QB,5
2025-05-29 14:00:00,SE16 4JS,2
2025-07-27 16:00:00,SW7 1SF,2
2025-05-02 11:00:00,SE13 5QT,16
2025-06-12 18:00:00,E3 2BG,5
2025-05-08 02:00:00,SE13 6AW,0
2025-07-21 10:00:00,W12 8QA,1
2025-05-22 11:00:00,N7 7EL,3
2025-07-31 15:00:00,N1 7JR,16
2025-07-20 14:00:00,RM2 6GN,1
2025-06-30 02:00:00,EN5 1SU,14
2025-05-01 11:00:00,NW10 8NR,19
2025-05-24 01:00:00,IG11 7PA,12
2025-07-18 21:00:00,SW5 9LW,17
2025-07-17 18:00:00,SE1 4UH,5
2025-05-13 09:00:00,SW16 2JG,20
2025-06-13 16:00:00,WC1B 3NQ,3
2025-07-25 02:00:00,UB3 1SA,1
2025-05-15 05:00:00,SW1Y 5BF,4
2025-05-07 04:00:00,N9 0SF,22
2025-06-20 10:00:00,E17 5FQ,15
2025-05-23 04:00:00,SE16 7LL,1
2025-06-04 19:00:00,W2 1RZ,1
2025-06-05 06:00:00,N1 2JY,4
2025-05-01 02:00:00,SW1E 5ES,4
2025-07-19 02:00:00,W10 5BQ,0
2025-07-09 08:00:00,RM13 8BU,6
2025-06-29 23:00:00,WC1N 3EJ,6
2025-07-24 20:00:00,SE1 4HH,2
2025-06-16 11:00:00,SE1 8LQ,16
2025-06-24 00:00:00,TW19 6BW,4
2025-07-30 19:00:00,E14 8SQ,0
2025-07-19 21:00:00,W3 0HQ,4
2025-06-15 05:00:00,N16 7HA,20
2025-06-15 13:00:00,NW6 4HP,0
2025-07-14 03:00:00,SE24 0DQ,18
2025-06-02 16:00:00,N1 7BH,0
2025-05-29 07:00:00,SE1 3SJ,9
2025-05-29 22:00:00,WC2H 7AX,4
2025-05-24 00:00:00,E20 1HP,11
2025-05-25 11:00:00,N18 2RD,0
2025-05-13 10:00:00,SW1E 5NN,3
2025-07-07 21:00:00,E15 4NF,3
2025-05-18 12:00:00,IG6 1NA,1
2025-07-12 23:00:00,HA2 0EU,12
2025-07-01 13:00:00,N7 0ED,5
2025-06-01 19:00:00,N1 8BX,4
2025-06-23 17:00:00,RM1 2FF,22
2025-06-07 01:00:00,E8 3EL,0
2025-05-25 04:00:00,W6 9JX,11
2025-05-15 15:00:00,W11 3JH,5
2025-07-08 08:00:00,EN1 4QA,5
2025-05-20 03:00:00,SW6 7QG,3
2025-05-26 17:00:00,N4 2XR,2
2025-07-15 00:00:00,E9 5PF,0
2025-05-13 01:00:00,WC1R 4AJ,24
2025-05-06 19:00:00,EC1M 6BN,5
2025-06-24 08:00:00,SE11 5NJ,1
2025-07-25 17:00:00,UB5 5ER,18
2025-05-26 03:00:00,E14 7GA,1
2025-05-27 20:00:00,N1 7DG,1
2025-07-24 22:00:00,E14 9DZ,1
2025-07-15 16:00:00,SE1 8XT,5
2025-06-19 08:00:00,SE22 8PR,21
2025-06-15 10:00:00,SW16 2TY,5
2025-07-05 03:00:00,N4 2NH,4
2025-07-29 08:00:00,SW1V 1RB,1
2025-07-02 07:00:00,WC1X 0BU,5
2025-06-10 14:00:00,IG1 1ED,1
2025-06-21 22:00:00,HA1 1EL,2
2025-06-20 14:00:00,SE1 8AE,3
2025-06-29 13:00:00,HA4 8TN,2
2025-06-26 16:00:00,NW4 2JU,8
2025-06-29 01:00:00,W1T 5DY,23
2025-07-01 15:00:00,E9 5HB,4
2025-06-11 12:00:00,SW2 3JP,0
2025-07-09 04:00:00,UB4 9LZ,15
2025-05-15 08:00:00,SE1 3TG,16
2025-07-22 07:00:00,UB4 8JN,0
2025-06-21 07:00:00,W3 6RE,2
2025-06-17 20:00:00,SW6 7PY,6
2025-05-08 09:00:00,W1W 7LY,12
2025-06-07 22:00:00,SW19 6RX,2
2025-06-05 17:00:00,E1 1DD,15
2025-06-02 13:00:00,DA17 5EP,21
2025-05-05 19:00:00,E9 7AT,1
2025-05-08 04:00:00,SE1 3SJ,3
2025-06-15 15:00:00,NW3 2BQ,3
2025-05-24 14:00:00,DA17 6AP,5
2025-05-21 23:00:00,E6 1FD,10
2025-05-06 12:00:00,N1 6SA,4
2025-06-08 02:00:00,E2 6PQ,11
2025-06-17 15:00:00,SE16 3TU,0
2025-05-12 12:00:00,RM14 2QB,2
2025-05-26 20:00:00,N8 0PP,1
2025-05-29 12:00:00,NW1 1ST,0
2025-06-16 13:00:00,EN3 7LZ,2
2025-07-23 02:00:00,W2 3BP,1
2025-05-10 18:00:00,E11 3JH,1
2025-05-16 23:00:00,HA3 8RS,1
2025-06-27 03:00:00,BR4 9AY,2
2025-07-30 02:00:00,RM6 6SR,10
2025-06-02 11:00:00,W14 9HU,1
2025-07-20 00:00:00,N4 2YA,4
2025-07-16 11:00:00,EN3 5BG,1
2025-07-04 10:00:00,SE1 0BU,1
2025-06-29 10:00:00,SE18 7SL,4
2025-06-14 15:00:00,N16 7XJ,1
2025-05-10 07:00:00,N1 5HP,2
2025-06-10 13:00:00,SE17 1PJ,5
2025-05-14 17:00:00,SW12 0NW,1
2025-06-07 18:00:00,E1 6HX,0
2025-07-06 02:00:00,W9 2JD,13
2025-07-22 12:00:00,RM3 7PP,24
2025-07-25 14:00:00,EC1M 5TN,23
2025-05-29 22:00:00,SW12 8JR,4
2025-05-10 01:00:00,SW6 7NH,3
2025-05-31 19:00:00,SW4 9SH,2
2025-07-21 21:00:00,SW17 0QS,15
2025-05-29 01:00:00,SE17 1RS,2
2025-05-01 18:00:00,W1U 7HS,14
2025-05-07 23:00:00,N1 2AB,3
2025-05-17 09:00:00,NW6 2BX,5
2025-06-04 10:00:00,E9 6HD,3
2025-07-15 13:00:00,W7 1AB,4
2025-06-04 18:00:00,SE1 5ST,6
2025-07-05 09:00:00,CR0 5ET,10
2025-05-21 15:00:00,SE1 7QE,0
2025-05-12 08:00:00,BR7 6FD,3
2025-07-16 05:00:00,W2 5RL,16
2025-07-11 00:00:00,SE3 0TZ,4
2025-06-17 20:00:00,SW16 4UZ,8
2025-06-28 15:00:00,SW6 3LA,5
2025-05-07 09:00:00,W11 3HN,5
2025-05-06 13:00:00,SW18 1AF,3
2025-05-25 09:00:00,IG8 8GE,2
2025-06-03 18:00:00,SE1 1RH,5
2025-06-21 22:00:00,SE18 7BY,2
2025-05-09 12:00:00,NW3 1DY,5
2025-07-13 12:00:00,NW1 8QP,3
2025-07-13 17:00:00,N1 6AS,23
2025-05-24 21:00:00,SE22 9QP,5
2025-07-01 04:00:00,HA0 2EY,12
2025-05-02 06:00:00,SW12 0JA,0
2025-05-07 15:00:00,E11 3AS,3
2025-06-29 10:00:00,SW9 8DL,22
2025-05-03 08:00:00,UB3 4DX,23
2025-05-27 15:00:00,E17 4SR,11
2025-07-28 22:00:00,E12 6SG,18
2025-06-07 12:00:00,E7 0PS,4
2025-05-20 11:00:00,N1 4LD,2
2025-07-24 12:00:00,SW4 0RL,3
2025-07-14 18:00:00,SE16 3DB,13
2025-07-06 07:00:00,SW1E 5HW,1
2025-07-01 02:00:00,WD3 2UY,0
2025-06-07 23:00:00,E12 6HA,5
2025-07-07 06:00:00,UB3 4FX,1
2025-05-04 08:00:00,E3 3AQ,6
2025-07-18 19:00:00,WC2N 6JU,3
2025-07-05 21:00:00,EN1 1YS,0
2025-07-13 07:00:00,N9 0NJ,15
2025-06-30 15:00:00,SW11 4NJ,1
2025-05-23 05:00:00,E16 4ST,18
2025-06-22 20:00:00,E7 8LJ,3
2025-05-09 11:00:00,N1 7LN,3
2025-05-25 14:00:00,HA9 0BS,15
2025-07-18 20:00:00,NW3 7ES,4
2025-06-29 08:00:00,E3 5TE,4
2025-06-28 13:00:00,SE1 6PQ,25
2025-05-16 14:00:00,E8 3SA,2
2025-07-19 10:00:00,SE28 0DN,2
2025-06-05 05:00:00,CR0 1FZ,2
2025-07-02 21:00:00,W3 9AD,3
2025-07-22 16:00:00,N1 1BT,12
2025-07-27 05:00:00,SE5 7ER,9
2025-05-16 14:00:00,SW1E 6AU,22
2025-06-19 19:00:00,SE22 8HP,2
2025-05-10 04:00:00,W5 2TA,2
2025-06-01 00:00:00,CR7 6JT,5
2025-06-23 10:00:00,N4 1TA,3
2025-07-14 10:00:00,TW3 1DB,23
2025-07-12 13:00:00,NW10 9BZ,15
2025-07-11 06:00:00,N16 7TZ,6
2025-05-01 20:00:00,TW5 9HT,1
2025-07-24 00:00:00,SW1V 4AH,5
2025-07-12 17:00:00,N16 0LX,1
2025-06-09 14:00:00,NW3 7NG,1
2025-07-20 16:00:00,N4 2AH,10
2025-06-29 03:00:00,N17 6RA,9
2025-05-07 22:00:00,TN16 2JE,20
2025-05-17 10:00:00,W1V 7HF,5
2025-07-24 13:00:00,TW1 2BJ,2
2025-07-07 21:00:00,N17 6LF,3
2025-07-12 07:00:00,SW17 0BQ,1
2025-06-03 03:00:00,E8 3GA,15
2025-07-22 17:00:00,CR0 1FZ,3
2025-05-17 21:00:00,E17 4PL,0
2025-07-18 12:00:00,BR1 1DN,3
2025-07-08 05:00:00,SW3 4SU,0
2025-05-02 06:00:00,HA0 2HD,2
2025-06-19 09:00:00,SE6 4EP,4
2025-06-16 04:00:00,E14 8ES,0
2025-06-16 01:00:00,TW4 6DU,8
2025-05-18 20:00:00,E1 1PX,1
2025-06-17 00:00:00,SE13 7NB,4
2025-06-11 19:00:00,N7 7PX,1
2025-06-14 22:00:00,UB5 5DT,22
2025-06-15 16:00:00,E17 7LS,1
2025-05-15 06:00:00,N9 0EH,4
2025-07-23 18:00:00,W12 7LA,13
2025-07-03 11:00:00,KT1 1QZ,2
2025-05-14 10:00:00,CR0 1XT,0
2025-05-03 21:00:00,W1H 1PH,23
2025-06-29 20:00:00,SE8 3QZ,4
2025-07-11 23:00:00,NW2 3QQ,4
2025-06-18 22:00:00,E12 5JG,11
2025-07-15 23:00:00,SW8 2SS,2
2025-05-15 06:00:00,SE11 6NJ,2
2025-06-19 18:00:00,SE1 9PH,2
2025-05-18 05:00:00,E2 8EJ,0
2025-06-15 08:00:00,SE11 4TU,19
2025-06-24 07:00:00,SW5 9JQ,17
2025-06-29 15:00:00,N4 3JR,13
2025-06-09 20:00:00,EN2 6SE,3
2025-07-19 11:00:00,SW1X 8DD,16
2025-05-01 22:00:00,SW8 1LL,5
2025-06-17 12:00:00,SE16 3TU,5
2025-06-11 16:00:00,W2 3SE,3
2025-05-25 23:00:00,BR1 1LG,0
2025-05-24 16:00:00,N7 7QZ,2
2025-05-07 08:00:00,KT1 1PE,4
2025-06-20 11:00:00,E6 3SJ,8
2025-06-27 09:00:00,W1U 6DD,1
2025-05-14 17:00:00,SE4 2RW,2
2025-06-26 05:00:00,HA6 1LY,19
2025-07-17 00:00:00,UB3 1JH,2
2025-05-19 05:00:00,EC1M 6PU,10
2025-07-17 16:00:00,BR1 1AE,7
2025-05-30 13:00:00,N1 1BW,6
2025-07-28 17:00:00,SE1 9QG,4
2025-06-14 04:00:00,TW4 6BB,1
2025-07-28 14:00:00,E17 4NH,2
2025-06-11 19:00:00,SW1P 4EA,22
2025-07-10 13:00:00,RM10 8RG,3
2025-07-03 19:00:00,SE17 3ET,17
2025-06-07 19:00:00,W1H 7LF,5
2025-06-02 22:00:00,N22 6EN,2
2025-05-05 20:00:00,RM8 3JB,5
2025-06-19 20:00:00,N16 7UT,4
2025-07-07 06:00:00,SE15 5DY,25
2025-06-17 17:00:00,HA9 0BS,2
2025-06-13 11:00:00,NW1 3HB,23
2025-05-12 08:00:00,NW1 2QE,5
2025-06-17 23:00:00,UB10 0WP,4
2025-05-23 05:00:00,KT2 7BE,23
2025-06-10 23:00:00,N17 9DQ,9
2025-07-16 04:00:00,N7 9LR,3
2025-06-16 18:00:00,N1 1PA,2
2025-05-01 19:00:00,WC1N 1BX,22
2025-07-16 11:00:00,RM14 2DB,1
2025-05-08 03:00:00,SE24 9PZ,0
2025-05-08 00:00:00,W2 2LA,0
2025-06-12 07:00:00,TW7 5EN,0
2025-05-28 10:00:00,TW4 7LY,1
2025-07-01 06:00:00,TW8 8QG,0
2025-06-14 08:00:00,W5 3RG,3
2025-06-22 00:00:00,N6 4HZ,2
2025-06-25 06:00:00,W12 8ZA,3
2025-07-16 15:00:00,E8 4HX,3
2025-07-05 15:00:00,SE21 8HU,5
2025-06-11 04:00:00,UB5 6LX,5
2025-06-14 19:00:00,SE20 8AL,2
2025-05-30 02:00:00,W1J 7HA,4
2025-06-10 08:00:00,SW8 1LL,4
2025-06-16 21:00:00,N15 4RZ,0
2025-05-15 14:00:00,SW17 6LD,4
2025-05-02 11:00:00,E8 3PH,3
2025-07-11 21:00:00,CR4 2FG,0
2025-07-11 17:00:00,SE1 6HZ,0
2025-05-07 20:00:00,UB4 8HU,3
2025-07-05 19:00:00,EN3 5SS,3
2025-06-25 23:00:00,SE18 7TA,17
2025-06-20 12:00:00,NW1 8NZ,0
2025-07-07 04:00:00,E9 6ZZ,3
2025-07-19 11:00:00,E14 6UH,19
2025-07-15 19:00:00,W2 4NN,1
2025-05-24 23:00:00,HA0 2TJ,2
2025-05-23 21:00:00,E8 1JR,1
2025-07-25 09:00:00,NW4 4AU,4
2025-07-02 01:00:00,SW2 1DW,1
2025-07-03 08:00:00,WC2N 4JP,6
2025-05-27 00:00:00,W1D 3AW,9
2025-07-21 07:00:00,HA3 8JD,21
2025-05-21 06:00:00,E9 6RU,5
2025-06-21 02:00:00,E10 7EQ,24
2025-07-22 09:00:00,E7 8QQ,4
2025-07-15 00:00:00,N1 5HS,3
2025-07-02 12:00:00,SW11 1NG,9
2025-07-07 04:00:00,SW16 6JJ,2
2025-07-17 01:00:00,N15 4TJ,3
2025-07-19 20:00:00,E18 2NP,0
2025-06-24 16:00:00,NW10 5ST,5
2025-07-31 23:00:00,N4 1LN,5
2025-06-04 21:00:00,E15 4SG,15
2025-05-15 05:00:00,W1N 5PB,4
2025-07-19 15:00:00,W8 7TA,23
2025-07-22 03:00:00,IG11 8NW,0
2025-05-19 15:00:00,E9 7QW,10
2025-06-06 06:00:00,SW7 4PL,0
2025-07-14 17:00:00,E16 2GS,2
2025-07-21 14:00:00,EN2 6PF,19
2025-05-22 03:00:00,SE10 0ET,3
2025-07-30 21:00:00,HA9 8DY,0
2025-06-11 22:00:00,NW3 2QD,15
2025-06-12 19:00:00,SW19 7QA,3
2025-05-15 11:00:00,NW10 0BE,1
2025-05-13 13:00:00,KT1 4FU,1
2025-06-06 01:00:00,N17 8NE,0
